Size,Bubble Sort Reads,Bubble Sort Writes,Bubble Sort Time,Heap Sort Reads,Heap Sort Writes,Heap Sort Time,Insertion Sort Reads,Insertion Sort Writes,Insertion Sort Time,Merge Sort Reads,Merge Sort Writes,Merge Sort Time,Quick Sort Reads,Quick Sort Writes,Quick Sort Time,Selection Sort Reads,Selection Sort Writes,Selection Sort Time,Two-Sort Reads,Two-Sort Writes,Two-Sort Time
1000,1760494,766050,26806,720654,339598,10944,770046,257348,6168,37316,19952,2159,47634,18600,1906,1001997,2997,2393,1495512,598550,16949
900,1444705,635787,21561,571592,263320,8248,639383,213727,4779,33192,17752,1854,42691,16679,1701,811797,2697,1962,1214686,478284,14801
800,1145885,509037,16966,447971,205319,6332,512233,171277,3709,29004,15552,1688,37841,14791,1465,641597,2397,1552,963258,377614,10363
700,865261,378123,12536,352946,161514,4864,380919,127439,2610,24852,13352,1556,33053,12907,1313,491397,2097,1203,736142,289712,7818
600,640156,281568,8654,259604,117488,3387,283964,95054,1901,20696,11152,1313,28310,11066,1117,361197,1797,892,545416,213158,5678
500,443495,194235,5763,184013,84077,3117,196231,65743,1319,16690,8976,3405,23287,9103,976,250997,1497,653,381750,150322,4897
400,282504,123324,6966,122247,55403,9373,124920,41906,841,12864,6976,810,18248,7148,786,160797,1197,430,247998,97586,2555
300,159366,70086,2812,71376,32168,2522,71282,23960,1189,9150,4976,1401,13422,5260,579,90597,897,254,143048,56258,1480
200,69666,30246,779,33935,15455,357,31042,10480,207,5652,3088,366,8564,3356,381,40397,597,121,65172,26000,586
100,16185,7155,186,9891,4403,112,7551,2583,54,2418,1344,163,3924,1538,176,10197,297,38,17490,7002,169
